id,city
6524,Anchor Point
6576,Purkeypile
6577,Seward
6637,Willow
6696,Kenai
6807,Palmer
45272,Wasilla
318194,Willow
45248,Big Lake
45270,Big Lake
7063,Pilot Station
7064,North Pole
7065,Wasilla
45273,Willow
7066,Montana Creek
7067,May Creek
7068,Victory Bible Camp
7069,Homer
7070,North Pole
7071,Point Mackenzie
7647,Denali
7648,Dillingham
7649,Wasilla
7698,Delta Junction
7807,Houston
7852,Lake Louise
7866,Loring
7867,Palmer
7926,Cantwell
7977,Nunapitchuk
7978,Wasilla
7994,Port Alice
8029,Mcgrath
8030,Ketchikan
8079,Juneau
8126,Icy Bay
8159,Port Protection
8175,Craig
8176,Crevice Creek
8177,Crosswind Lake
8179,Soldotna
8180,Nikiski
8181,Sketna
8182,Valdez
8183,Skwentna
8184,Fairbanks
8383,Kalakaket Creek
8775,Ellamar
45274,Big Lake
8792,Quail Creek
8821,Talkeetna
8873,Deadhorse
8927,Wasilla
8984,Meadow Lakes
318189,Fairbanks
9039,Willow
9135,Kuparuk
9186,Sutton
9233,Wasilla
9234,Delta Junction
9283,Bettles
9287,Lime Village
9288,Point Mackenzie
9289,Fairbanks /Ft Wainwright/
9290,Fairbanks /Ft Wainwright/
9291,Five Finger
9292,Homer
9293,Hinchinbrook
9294,Hogatza
9295,Talkeetna
9296,Icy Cape
9297,Independence Creek
9366,Palmer
9485,Telida
9684,Anchorage
9738,Kenai
9879,Willow
9901,Yakutat
9902,Entrance Island
9903,Eureka Creek
9904,Eva Creek
9905,Fairbanks
9906,False Island
9907,Kenai
9949,Fairbanks
9990,Fairbanks
10033,Nugget Bench
10078,Palmer
10124,Deadhorse
10172,Wasilla
10183,Squaw Harbor
10263,Wasilla
10313,Palmer
10359,Wasilla
10361,Wasilla
10362,Willow
10363,Palmer
10364,Talkeetna
10365,Kenai
10366,Kenai
10367,Palmer
10368,Willow
10369,Wasilla
45261,Skwentna
10402,Anchorage
10482,Wasilla
10535,Skilak Guard Station
10537,Wasilla
10784,Tetlin
10904,Feather River
10905,Golden Horn Lodge
10906,Haines
10907,Sterling
10945,Wasilla
10982,Wasilla
11023,Wasilla
11063,Wasilla
318193,Talkeetna
11107,Delta Junction
11148,Homer
11189,Eagle River
11230,Sutton/Chickaloon
11273,Talkeetna
11318,Atmautluak
11319,Wasilla
46295,Homer
11320,Livengood
11321,Wasilla
11322,Deadhorse
11323,Wasilla
11324,Long Lake
11325,Mankomen Lake
11326,Palmer
11327,Aleknagik
11328,Napaimute
11329,Naknek
11485,Pedro Bay
11487,Ouzinkie
11488,Tununak
11818,Hannum Creek
11819,Horsfeld
11820,Hyder
11821,Jakolof Bay
45275,Point Mackenzie
45276,Talkeetna
11900,Minto
11901,Kenai
11945,Moose Pass
11946,Sterling
11989,Wasilla
12031,Wasilla
12074,Wasilla
12114,Tokeen
12115,Wasilla
12158,Tolsona Lake
12159,Wasilla
12199,Wasilla
12243,Aleknagik
12244,Tazlina
12245,Trading Bay
12246,Tyonek
12247,North Pole
12248,North Pole
12249,Palmer
12250,Wasilla
12251,Palmer
12252,Wasilla
12253,Palmer
12286,Black Rapids
12287,Homer
12288,Craig
12299,Chandalar Camp
12375,Hope
12429,Ketchikan
12430,Koggiung
12431,Kasilof
12446,Wasilla
12560,Naknek
12647,Quartz Creek
12760,Juneau
12761,Kanakanak
12762,Kantishna
12763,Kasitsna Bay
12764,Katmai National Park
45245,Wasilla
12806,Trapper Creek/Talkeetna
12853,Wasilla
12890,Petersburg
12891,Big Lake
12931,Point Mackenzie
12978,Wasilla
45253,Wasilla
13053,Wasilla
13093,Wrangell
13094,Big Lake
42775,Wasilla
13175,Big Lake
13177,Rainy Pass
13178,Platinum
13179,Point Mackenzie
13180,Kenai
13181,Anchorage
13182,Wasilla
13183,Wasilla
13184,Wasilla
13527,Old Harbor
13636,Kenai
45277,Soldotna
13677,Wasilla
13713,Delta Junction
13754,Juneau
13795,Barrow
45250,Kenai
13880,Delta Junction
13923,Nakeen
13924,Wasilla
318191,North Pole
13961,Willow
13974,Yes Bay
13999,Nancy Lake
45278,Wasilla
14039,Tanana
14040,Snettisham
14041,Soldotna
14042,Wasilla
14043,Soldotna
14044,Soldotna
14045,Healy
14046,Wasilla
14047,Palmer
14170,Skagway
14173,Tatitlek
11486,Houston
14519,Trapper Creek
14557,Palmer
14589,Fairbanks
14642,Meyers Chuck
45256,Big Lake
45251,Big Lake
14745,Wasilla
14779,Sterling
14816,Wasilla
14854,South Naknek
14855,Gulkana
14856,Kenai
14857,Selawik
14858,Sterling
14859,Susitna Station
14861,Wasilla
14862,Tok
14984,Ketchikan
14985,Tatitna
15271,Prudhoe Bay/Deadhorse
45255,Big Lake
15337,Palmer
15376,Queens
15443,Nome
15444,Wasilla
15477,North Pole
15478,Clam Gulch
15514,North Whale Pass
15515,Palmer
15553,Homer
321976,Anchorage
15597,Moore Creek
15638,Palmer
15640,Chuathbaluk
15641,Ugashik
15643,Totatlanika River
15644,Tok
15645,Palmer
15646,Russian Mission
15647,Tyonek
15648,Delta Junction
15649,Anchorage
15650,Wasilla
15651,Big Lake
15652,Wasilla
15658,Ketchikan
16067,Kodiak
16068,Kvichak
16069,Levelock
16070,Lawing
16072,Anchorage
16074,Saginaw Bay
16076,Seldovia
16078,Sitka
16079,Taku Harbor
16081,Yakutat
16082,Tuntutuliak
16083,Twin Hills
16084,Yakutat
16085,Yakutat
16086,Yakutat
16087,Yakutat
16088,Yankee Creek
16089,Chignik Lake
16090,Gunsight Mountain Lodge
45263,Talkeetna
45271,Big Lake
45252,Big Lake
45260,Deadhorse
45268,Anchorage
45279,Anchorage
45264,Anchorage
45262,Big Lake
318192,Palmer
45257,Wasilla
313161,Sitka
45247,Delta Junction
45259,Nuiqsut
45267,Houston
45280,Houston
313164,Haines
313165,Kuparuk
45242,Juneau
45281,Deadhorse
313166,Kuparuk
45266,North Pole
45269,Palmer
299321,Amchitka Island
16096,Mccarthy
16097,Anchor Point
45282,Sterling
16098,Bear Creek
16100,Eureka
45244,Sterling
16101,Mckinley Park
16102,Nanwalek
16103,Willow
16104,Delta Junction
16105,Palmer
16164,Willow
16106,Point Mcintyre
16107,Anchorage
16108,Chena Hot Springs
16109,Point Mackenzie
16111,Wasilla
16112,Homer
16113,Homer
16114,Talkeetna
45283,Nuiqsut
16115,Dillingham
16116,Fairbanks
16118,Chugiak
16119,Wasilla
16120,Solomon
16121,Wasilla
16122,Fairbanks
16123,Houston
45265,Cordova
16124,Mccarthy
45258,Nuiqsut
16125,Herendeen Bay
16126,Willow
16127,Delta Junction
16128,Point Mackenzie
16129,Point Mackenzie
16130,Anchorage
16131,Sterling
16132,McGrath
16133,North Pole
16134,Palmer
16135,Wasilla
16136,Talkeetna
16137,Lost River
16138,Palmer
16139,Wasilla
16140,Wasilla
16141,Taylor
16142,Kasilof
16143,Palmer
16144,Port Alsworth
16145,Fairbanks
16146,Palmer
16147,Wasilla
16148,Soldotna
16149,Tikchik
16150,Willow
16151,Wasilla
16152,Sutton
16153,Jensens
16154,Talkeetna
16155,Tuxekan Island
16156,Palmer
16157,Taylor Mountain Mine
16158,Wasilla
16159,Palmer
16160,Willow
16161,Willow
16162,Willow
16165,Lonely
16166,Willow
16167,Nikishka
16168,Kodiak
16169,Candle
16170,Yakutat
16171,Delta Junction
45284,Wasilla
45246,Talkeetna
16173,American Creek
16174,Amook Bay
16175,Anchorage
16176,Wasilla
16177,Sterling
45243,Wasilla
45254,Big Lake
16178,Big Lake
16179,Palmer
16180,Houston
16181,Willow
16182,Anchorage
16183,Palmer
16184,Palmer
16185,Juneau
16186,Big Lake
16187,Egegik
16188,Boswell Bay
16189,Buck Creek
45249,Wasilla
16289,Lazy Bay
16294,Girdwood
16502,Baranof
16505,Gustavus
16506,Boundary
16707,Cape Decision
16712,Craig
16713,Circle Hot Springs
312506,Chomley
16716,Crooked Creek
16717,Cordova
16718,Chicken
16819,Clear
16956,Cape Spencer
16957,Anchorage
17055,Chitina
17057,Chatham
17060,Chisana
17061,Chistochina
17080,Delta Junction
17084,Big Lake
17085,Eagle River
17086,Wasilla
17113,Dahl Creek
17114,Slana
17152,Diomede
317873,Edna Bay
17180,Eldred Rock
17184,Excursion Inlet
17467,Flat
312899,Flaxman Island
17597,Goodnews
17599,Granite Mountain
17618,Haycock
313211,Healy Lake
17653,Tahneta Pass Lodge
17657,Hawk Inlet
17659,Hollis
17777,Nabesna
313268,Ivishak River
18253,Cooper Landing
18561,Council
310044,Yakutat
18755,Anvik
18880,Thompson Pass
19240,Kake
19362,Bell Island
19466,Coffman Cove
308353,Chignik
19511,Chignik Flats
19520,Chernofski Harbor
19548,Colorado Creek
19718,Nanwalek
19744,Ekwok
19993,Grayling
20000,Glacier Creek
20150,Ivanof Bay
20273,Kitoi Bay
20274,Akiachak
20276,Karluk Lake
20279,Ekuk
20588,Moser Bay
20787,Olga Bay
20806,Point Baker
20825,Pauloff Harbor /Sanak Is/
20864,Port Williams
20898,Port Bailey
20904,Akutan
318190,Kavik
21179,Thorne Bay
21373,Waterfall
21376,Kwigillingok
21380,West Point
21408,Kasaan
308357,Zachar Bay
21446,Yukon Charley Rivers
21460,Soldotna
21465,Valdez
21466,Big Lake
21731,Lost River
46511,Medfra
22011,Willow
22304,Elim
22495,Fairbanks
22655,May Creek
23045,Ninilchik
46081,Oliktok Point
23849,Hoonah
23950,Port Lions
16190,Atka
8178,Cold Bay
16117,Dutch Harbor
16163,Fairbanks
16094,Port Alexander
5336,Palmer
16386,Attu
5337,Barter Island Lrrs
5338,Bethel
16501,Beluga
5339,Delta Junction Ft Greely
5340,Buckland
5341,Big Mountain
16172,Deadhorse
5342,Utqiaġvik
5343,Bettles
14860,Kaktovik
5344,Birchwood
5345,Cold Bay
16709,Central
16714,Chalkyitsik
16711,Chefornak
5346,Clear
5347,Scammon Bay
16954,Circle
9088,Cape Sarichef
5348,Cordova
17056,Coldfoot
17058,Yakataga
5349,Cape Romanzof
5350,Deering
17151,Red Dog
16092,Adak Island
5351,Dillingham
5352,Marshall
5353,Kodiak
5354,Unalaska
17155,Kongiganak
5355,Anchorage
17176,Eek
17174,Eagle
5356,Cape Newenham
5357,Fairbanks
17178,Elfin Cove
5358,Emmonak
5359,Kenai
17183,Newtok
5360,Fairbanks
5361,Fairbanks/Ft Wainwright
5362,Kake
17370,Farewell Lake
25015,Farewell Lake
5363,Ambler
5364,Fort Richardson(Anchorage)
17469,Nikolai
17470,Five Mile
17471,Farewell
5365,Galena
17575,Galbraith Lake
17595,Kwigillingok
5366,Shungnak
5367,Gulkana
22694,Golovin
5368,Gambell
16093,Angoon
16499,Big Lake
5369,Gustavus
17885,Nightmute
24574,Skagway
17619,Holy Cross
5370,Huslia
5372,Haines
5373,Homer
5374,Hooper Bay
17656,Hughes
17655,Healy
24575,Shageluk
17658,Hydaburg
17884,Igiugig
5375,Egegik
5376,Kiana
5377,Iliamna
5378,Utopia Creek
18169,McKinley Park
18251,Wales
16095,Chignik
5379,Juneau
18259,Sutton
18300,Koliganek
19631,Kodiak
19891,False Pass
16192,Akhiok
17979,Kipnuk
20272,Koyuk
21568,Kulik Lake
5380,King Salmon
17980,Nikolski
5381,Anaktuvuk Pass
5382,Ketchikan
25239,Kuparuk
19274,Kaltag
5383,Klawock
21434,Karluk
9282,Larsen Bay
20333,Kalskag
21567,Anchorage
16110,Deadhorse
25694,Chandalar Lake
5385,Cape Lisburne
21843,Manokotak
21844,McGrath
21936,Middleton Island
5371,Minchumina
24578,St Michael
22107,Manley Hot Springs
22496,Metlakatla
22305,Mountain Village
5386,Anchorage
7976,Mccarthy
5387,Mekoryuk
25894,Napakiak
5388,Anchorage
16291,Aniak
5390,Nenana
12571,Nondalton
17468,Funter Bay
5391,Annette
5417,Nulato
5392,Anvik
20664,New Stuyahok
23513,Kobuk
16073,Portage Creek
17654,Hoonah
5393,Nome
24199,Toksook Bay
5394,Northway
5395,Kotzebue
23953,Nelson Lagoon
5396,St George
5397,Port Clarence
24081,Perryville
5398,Petersburg
5399,Port Heiden
24205,Napaskiak
5400,Platinum
24197,Pilot Point
24089,Point Hope
24202,Prospect Creek
16292,Klawock
16293,Quinhagak
5401,Nuiqsut
5402,Arctic Village
24365,Russian Mission
5403,Ruby
5404,Savoonga
5405,Deadhorse
5406,Sand Point
5407,Shishmaref
5408,Sitka
5384,Selawik
24577,Sleetmute
5409,St Mary's
5410,St Paul Island
24675,Seldovia
24579,Sheep Mountain
25241,Summit
5411,Sparrevohn
24576,Skwentna
5412,Soldotna
5413,Shemya
24807,Tanana
25014,Tin City
24908,Teller
5414,Togiak Village
24912,Tok
24910,Talkeetna
5415,Takotna
5416,Atqasuk
25117,Cantwell
16387,Alakanuk
25242,Umiat
5389,Unalakleet
25331,Willow
308030,Akutan
25432,Chevak
21313,King Cove
5418,Valdez
25434,Venetie
5419,Kivalina
25693,Beaver
5420,Seward
5421,Wrangell
5422,Wainwright
25794,White Mountain
5423,Noatak
17876,Whittier
5424,Wasilla
5425,Wainwright
24334,Paxson
26343,Yakutat
24078,Porcupine Creek
24080,Pelican
16191,Akiak
13176,Allakaket
16509,Chenega
16820,Clarks Point
318188,Crooked Creek
17177,Elim
26344,Kasigluk
15766,Kokhanok
9286,Kotlik
21224,Brevig Mission
21435,Koyukuk
21383,Kwethluk
17087,Noorvik
9334,Shaktoolik
13322,Tok
25982,South Naknek
5429,Fort Yukon
24085,Port Graham
5495,Point Lay
24333,Port Walter
24336,Perry Island
24340,Red Devil
24363,Rampart
46083,Sagwon
24503,Soldotna
309459,Sitkinak Island
24676,Stony River
24677,Stevens Village
